,tweet_id,text,query,user_id,user_name,follower_count,user_tweet_count,likes,retweets,location_name,latitude,longitude,user_location,date
2470,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,3419219055,,1116,27215,0,26893,,NA,NA,,1/6/21
2471,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,2563031431,,773,39351,0,26893,,NA,NA,,1/6/21
2472,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,2235598175,,4425,129086,0,26893,,NA,NA,,1/6/21
2473,1.35E+18,rep adam kinzinger r now calling the president a coward on cnn he calls the insurrection a coup,president,601051660,,455,20408,0,228,,NA,NA,OH,1/6/21
2474,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,706357166,,1323,274113,0,26893,,NA,NA,,1/6/21
2475,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,2276490612,,3085,18378,0,26893,,NA,NA,NY,1/6/21
2476,1.35E+18,happening where leaders country were conducting appropriate transfer of power just couple hours ago our president incited a mob to raid the halls of our democracy trump said he would walk with them this would be what a coup insurrection if not usa wed be calling it that,president,9.14E+17,,1209,15206,0,223,,NA,NA,,1/6/21
2477,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,377751695,,6225,50703,0,26893,,NA,NA,,1/6/21
2478,1.35E+18,the house should immediately pass new articles of impeachment against the president by the end of today for inciting insurrection against the united states congress,president,2488033082,,2719,11772,0,1831,,NA,NA,MN,1/6/21
2479,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,612037519,,312,44396,0,26893,,NA,NA,OH,1/6/21
2480,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,542585036,,55,3928,0,26893,,NA,NA,FL,1/6/21
2481,1.35E+18,breaking republican senator mitt romney blames president trump for insurrection via jonathan martin of the new york times,president,2808438137,,275,77470,0,909,,NA,NA,,1/6/21
2482,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,248688460,,578,7778,0,26893,,NA,NA,,1/6/21
2483,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,287554317,,43,7932,0,26893,,NA,NA,,1/6/21
2484,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,91425535,,127,13053,0,2885,,NA,NA,VA,1/6/21
2485,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,76350579,,862,33000,0,26893,,NA,NA,,1/6/21
